rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_f,eta_dp,eta_lw,eta_dE,eta_lE50,data
1,35,-5.407725,0.018185,-0.016657,0.000000,-0.019040,0.000000,0.000000,0.543684,-0.355075,0.000000,0.000000,-1.094038,0.330346,0.000000,thai
2,35,-1.792964,0.014903,-0.018320,0.000000,0.011692,0.000000,0.000000,0.262018,0.534998,0.000000,0.000000,-0.170256,0.664332,0.000000,thai
3,35,-4.303061,-0.047795,-0.013560,0.000000,0.000562,0.000000,0.000000,-0.449226,0.272008,0.000000,0.000000,0.056780,0.434000,0.000000,thai
4,35,-4.499957,0.000435,0.026673,0.000000,0.007897,0.000000,0.000000,-0.075756,-0.136179,0.000000,0.000000,-0.190194,1.711098,0.000000,thai
5,35,-0.751175,0.003550,-0.060725,0.000000,0.005339,0.000000,0.000000,0.306336,0.293797,0.000000,0.000000,-0.580825,0.949955,0.000000,thai
6,35,-2.774417,0.033654,-0.044630,0.000000,0.001841,0.000000,0.000000,0.951459,-0.345152,0.000000,0.000000,-0.594289,2.694412,0.000000,thai
7,35,-3.468693,-0.027818,-0.002645,0.000000,0.010470,0.000000,0.000000,0.250301,0.928774,0.000000,0.000000,-0.906600,0.085130,0.000000,thai
8,35,-6.631748,-0.002774,0.041014,0.000000,-0.005707,0.000000,0.000000,0.467908,-0.349564,0.000000,0.000000,-0.917036,2.683270,0.000000,thai
9,35,-4.198264,-0.011253,-0.020501,0.000000,0.005276,0.000000,0.000000,0.185400,-0.636696,0.000000,0.000000,-0.630085,1.383829,0.000000,thai
10,35,-3.894787,0.017769,-0.006970,0.000000,0.000206,0.000000,0.000000,-0.891210,0.480292,0.000000,0.000000,0.589276,1.839267,0.000000,thai
1,36,4.549375,0.009267,-0.010529,0.000000,-0.000828,0.000000,0.000000,0.574342,-0.025862,0.000000,0.000000,0.674719,-0.728924,0.000000,thai
2,36,5.179801,0.000574,0.005833,0.000000,0.009710,0.000000,0.000000,0.723540,-0.354920,0.000000,0.000000,0.421188,-0.556411,0.000000,thai
3,36,4.336636,0.003216,-0.012651,0.000000,-0.009340,0.000000,0.000000,0.859926,0.177069,0.000000,0.000000,0.496672,-0.865656,0.000000,thai
4,36,5.150074,-0.002815,-0.004460,0.000000,-0.007444,0.000000,0.000000,1.243992,0.288596,0.000000,0.000000,0.144628,-0.603595,0.000000,thai
5,36,4.427003,-0.016070,0.035171,0.000000,-0.003620,0.000000,0.000000,0.369816,0.111919,0.000000,0.000000,0.861786,-0.601596,0.000000,thai
6,36,4.759828,0.014561,0.037364,0.000000,-0.009050,0.000000,0.000000,0.551894,-0.186688,0.000000,0.000000,0.877343,-0.108392,0.000000,thai
7,36,5.986152,0.003379,0.002541,0.000000,0.017311,0.000000,0.000000,-0.273805,0.070361,0.000000,0.000000,1.532276,-0.313920,0.000000,thai
8,36,2.047700,-0.067375,0.030497,0.000000,0.001357,0.000000,0.000000,0.454041,0.110182,0.000000,0.000000,0.655243,-0.648063,0.000000,thai
9,36,4.301064,0.000318,0.023049,0.000000,-0.014740,0.000000,0.000000,0.874060,0.265981,0.000000,0.000000,0.460045,-0.098254,0.000000,thai
10,36,5.819480,0.025317,-0.032498,0.000000,-0.012712,0.000000,0.000000,-0.013312,0.009352,0.000000,0.000000,1.190121,-0.032503,0.000000,thai
1,37,-2.165682,-0.017586,0.009545,0.000000,0.002786,0.000000,0.000000,-0.228931,-0.171854,0.000000,0.000000,-0.530157,0.924317,0.000000,thai
2,37,-2.561441,0.001023,0.012967,0.000000,-0.005156,0.000000,0.000000,0.101421,-0.166880,0.000000,0.000000,-0.779782,0.121437,0.000000,thai
3,37,-2.813487,-0.000153,0.002714,0.000000,-0.007942,0.000000,0.000000,0.455723,-0.231383,0.000000,0.000000,-1.142565,1.203207,0.000000,thai
4,37,-3.030143,-0.013600,-0.010194,0.000000,-0.015876,0.000000,0.000000,0.178633,-0.516294,0.000000,0.000000,-0.486511,1.536442,0.000000,thai
5,37,-3.001584,0.005871,0.014983,0.000000,0.000627,0.000000,0.000000,-0.344412,-0.372364,0.000000,0.000000,0.072976,0.824067,0.000000,thai
6,37,0.036447,-0.001796,-0.008547,0.000000,0.003340,0.000000,0.000000,-0.279106,0.123617,0.000000,0.000000,0.328044,1.499445,0.000000,thai
7,37,-0.760148,0.015660,-0.053732,0.000000,-0.001812,0.000000,0.000000,-1.092509,0.403458,0.000000,0.000000,0.805241,2.596972,0.000000,thai
8,37,-2.870233,-0.032725,0.011947,0.000000,0.008734,0.000000,0.000000,0.121200,0.412035,0.000000,0.000000,-0.652723,0.433481,0.000000,thai
9,37,-3.963222,-0.001416,0.050083,0.000000,0.016261,0.000000,0.000000,0.707405,0.358523,0.000000,0.000000,-1.478948,0.239366,0.000000,thai
10,37,0.687895,-0.018998,-0.063604,0.000000,0.014262,0.000000,0.000000,-0.279257,0.376729,0.000000,0.000000,-0.150600,1.683454,0.000000,thai
1,38,-0.333807,0.001875,-0.021119,0.000000,0.005685,0.000000,0.000000,-0.092165,-0.544218,0.000000,0.000000,-0.255386,-0.473488,0.000000,thai
2,38,-2.367361,-0.011254,0.006821,0.000000,0.002437,0.000000,0.000000,0.702027,0.093194,0.000000,0.000000,-0.872113,-0.666377,0.000000,thai
